Name: Shu Restaurant, Type: Restaurant, Location: 156 Shield St, West Hartford, CT 06110, United States, Phone #: (860) 519-1740, Website: http://www.shurestaurantusa.com/
Name: Residence Inn by Marriott Hartford Downtown, Type: Restaurant, Location: 942 Main St, Hartford, CT 06103, United States, Phone #: (860) 524-5550, Website: https://www.marriott.com/hotels/travel/bdlri-residence-inn-hartford-downtown/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_MjgxODgxNC03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D
Name: KFC, Type: Restaurant, Location: 930 New Britain Ave, West Hartford, CT 06110, United States, Phone #: (860) 953-9144, Website: https://locations.kfc.com/ct/west-hartford/930-new-britain-avenue
Name: Ted's Montana Grill, Type: Restaurant, Location: 35 Front St, Hartford, CT 06103, United States, Phone #: (860) 692-1167, Website: https://www.tedsmontanagrill.com/tmg063.html
Name: Vinted Wine Bar, Type: Restaurant, Location: 63 Memorial Rd, West Hartford, CT 06107, United States, Phone #: (860) 206-4648, Website: http://vintedwinebar.com/
Name: Econo Lodge East Hartford Hwy 5, Type: Restaurant, Location: 490 Main St, East Hartford, CT 06118, United States, Phone #: (860) 569-1100, Website: https://www.choicehotels.com/connecticut/east-hartford/econo-lodge-hotels/ct056?source=gyxt
Name: Arugula Bistro, Type: Restaurant, Location: 953 Farmington Ave, West Hartford, CT 06107, United States, Phone #: (860) 561-4888, Website: http://www.arugula-bistro.com/
Name: Burger King, Type: Restaurant, Location: 186 Prospect Ave, Hartford, CT 06106, United States, Phone #: (860) 236-0029, Website: https://burgerking.com/store-locator/store/restaurant_2142
Name: IHOP, Type: Restaurant, Location: Copaco Shopping Center, 339 Cottage Grove Rd, Bloomfield, CT 06002, United States, Phone #: (860) 243-1160, Website: https://www.ihop.com/en/restaurants-bloomfield-ct/339-cottage-grove-road-3156?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places
Name: Flora, Type: Restaurant, Location: 45 Raymond Hill Rd 2nd floor, West Hartford, CT 06107, United States, Phone #: (860) 216-5992, Website: http://floraweha.net/
Name: Rush Bowls, Type: Restaurant, Location: 15 Front St, Hartford, CT 06103, United States, Phone #: (860) 993-1747, Website: https://rushbowls.com/hartford
Name: Wendy's, Type: Restaurant, Location: 306 Prospect Ave, Hartford, CT 06106, United States, Phone #: (860) 200-8505, Website: https://locations.wendys.com/united-states/ct/hartford/306-prospect-ave.?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US
Name: Artisan West Hartford, Type: Restaurant, Location: 1 Memorial Rd, West Hartford, CT 06107, United States, Phone #: (860) 937-2525, Website: http://www.artisanwesthartford.com/
Name: Song Restaurant, Type: Restaurant, Location: 74 LaSalle Rd, West Hartford, CT 06107, United States, Phone #: (860) 595-3099, Website: http://www.songwesthartford.com/
Name: Shish Kebab House of Afghanistan, Type: Restaurant, Location: 36 LaSalle Rd, West Hartford, CT 06107, United States, Phone #: (860) 231-8400, Website: http://www.afghancuisine.net/
Name: Division West Bistro and Bar, Type: Restaurant, Location: 36 LaSalle Rd, West Hartford, CT 06107, United States, Phone #: (860) 955-9034, Website: http://www.divisionwestbistro.com/
Name: Beachland Tavern, Type: Restaurant, Location: 1128 New Britain Ave, West Hartford, CT 06110, United States, Phone #: (860) 263-7167, Website: http://www.beachlandtavern.com/
Name: Ocho Cafe - West Hartford, Type: Restaurant, Location: 330 N Main St, West Hartford, CT 06117, United States, Phone #: (860) 310-3063, Website: http://www.ochocafe.com/
Name: Sam's Gyro, Type: Restaurant, Location: 7 S Main St, West Hartford, CT 06107, United States, Phone #: (860) 233-6300, Website: https://www.facebook.com/samsgyro/
Name: Union Kitchen, Type: Restaurant, Location: 43 LaSalle Rd, West Hartford, CT 06107, United States, Phone #: (860) 598-8000, Website: http://www.unionkitchenct.com/
Name: Vietnam Restaurant, Type: Restaurant, Location: 1131 New Britain Ave b, West Hartford, CT 06110, United States, Phone #: (860) 236-7893, Website: http://www.vietnamrestaurantct.com/
Name: The Hungry Crab, Type: Restaurant, Location: 1144 New Britain Ave, West Hartford, CT 06110, United States, Phone #: (860) 937-5738, Website: http://www.thehungrycrab.com/
Name: Frida Mexican Cuisine, Type: Restaurant, Location: 1150 New Britain Ave, West Hartford, CT 06110, United States, Phone #: (860) 310-2179, Website: http://www.fridarestaurantwh.com/
Name: Chipotle Mexican Grill, Type: Restaurant, Location: 966 Farmington Ave, West Hartford, CT 06107, United States, Phone #: (860) 586-8281, Website: https://locations.chipotle.com/ct/west-hartford/966-farmington-ave?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Name: Europe Restaurant, Type: Restaurant, Location: 141 Shield St, West Hartford, CT 06110, United States, Phone #: (860) 982-4889, Website: 
Name: Boston Market, Type: Restaurant, Location: 1240 Farmington Ave, West Hartford, CT 06107, United States, Phone #: (860) 561-6150, Website: https://www.bostonmarket.com/location/ct/west-hartford/1240-farmington-ave?utm_source=Yext&utm_medium=click&utm_campaign=listings&utm_content=148
Name: Wings Over West Hartford, Type: Restaurant, Location: 285 Park Rd, West Hartford, CT 06119, United States, Phone #: (860) 236-9464, Website: http://www.wingsover.com/
Name: New Asia Chinese Restaurant, Type: Restaurant, Location: 1155 New Britain Ave, West Hartford, CT 06110, United States, Phone #: (860) 521-7474, Website: http://www.newasiact.com/
Name: Noodles and Company, Type: Restaurant, Location: 333 N Main St, West Hartford, CT 06117, United States, Phone #: (860) 206-9986, Website: https://locations.noodles.com/ct/west-hartford/333-north-main-street.html
Name: Playa Bowls, Type: Restaurant, Location: 51 Memorial Rd, West Hartford, CT 06107, United States, Phone #: (860) 216-4152, Website: https://www.playabowls.com/
Name: Moe's Southwest Grill, Type: Restaurant, Location: 722 N Main St, West Hartford, CT 06117, United States, Phone #: (860) 206-4283, Website: https://www.moes.com/find-a-moes/connecticut/west_hartford/102112?utm_source=google&utm_medium=organic&utm_campaign=localmaps
Name: Chick-fil-A, Type: Restaurant, Location: 509 New Park Ave, West Hartford, CT 06110, United States, Phone #: (860) 461-1691, Website: http://chick-fil-a.com/
Name: The Capital Grille, Type: Restaurant, Location: 44 Front St, Hartford, CT 06103, United States, Phone #: (860) 244-0075, Website: https://www.thecapitalgrille.com/locations/ct/hartford/hartford/8055?cmpid=br:tcg_ag:ie_ch:loc_ca:TCGGMB_dt:20190131_sn:gmb_gt:hartford-ct-8055_pl:locurl_rd:1051
Name: Panera Bread, Type: Restaurant, Location: 2542 Albany Ave Suite 1, West Hartford, CT 06117, United States, Phone #: (860) 231-9511, Website: https://locations.panerabread.com/ct/west-hartford/2542-albany-avenue.html?utm_medium=display-ad&utm_source=paid-digital&utm_campaign=yext&utm_content=local-search
Name: McDonald's, Type: Restaurant, Location: 2534 Albany Ave, West Hartford, CT 06107, United States, Phone #: (860) 236-8580, Website: https://www.mcdonalds.com/us/en-us/location/CT/WEST-HARTFORD/2534-ALBANY-AVENUE/10197.html?cid=RF:YXT:GMB::Clicks
Name: Domino's Pizza, Type: Restaurant, Location: 1143 New Britain Ave Ste C, West Hartford, CT 06110, United States, Phone #: (860) 232-4000, Website: https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps
